this_week	last_week	end_2013	country	flag_url	name	player_url	avg_points	total_points	event_played_divisor	points_lost	points_gained	events_played_actual
11	11	5	USA	http://www.owgr.com/styles/img/flags/USA.png	Phil Mickelson	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=1547	5.7959	272.40	47	-210.73	137.21	47
12	12	39	GER	http://www.owgr.com/styles/img/flags/GER.png	Martin Kaymer	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=8117	5.2204	271.46	52	-96.03	231.51	59
13	13	22	USA	http://www.owgr.com/styles/img/flags/USA.png	Jordan Spieth	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14636	5.1276	266.63	52	-104.19	204.77	53
14	14	41	USA	http://www.owgr.com/styles/img/flags/USA.png	Billy Horschel	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=11276	5.0757	263.94	52	-81.22	209.42	57
15	15	1	USA	http://www.owgr.com/styles/img/flags/USA.png	Tiger Woods	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=5321	4.8507	194.03	40	-292.03	6.57	29
16	16	9	USA	http://www.owgr.com/styles/img/flags/USA.png	Zach Johnson	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=6986	4.8030	249.75	52	-171.68	138.21	53
17	17	16	USA	http://www.owgr.com/styles/img/flags/USA.png	Dustin Johnson	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=12422	4.7422	213.40	45	-154.40	137.25	45
18	18	14	NIR	http://www.owgr.com/styles/img/flags/NIR.png	Graeme McDowell	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7548	4.6218	221.85	48	-166.20	127.73	48
19	19	47	USA	http://www.owgr.com/styles/img/flags/USA.png	Jimmy Walker	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7293	4.3427	225.82	52	-100.51	197.19	55
20	20	23	JPN	http://www.owgr.com/styles/img/flags/JPN.png	Hideki Matsuyama	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=13562	4.2021	205.90	49	-87.55	138.43	49
21	21	31	USA	http://www.owgr.com/styles/img/flags/USA.png	Hunter Mahan	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7636	4.1250	214.50	52	-113.53	160.42	54
22	22	60	USA	http://www.owgr.com/styles/img/flags/USA.png	Chris Kirk	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=12423	4.1157	214.02	52	-73.28	180.16	56
23	23	32	FRA	http://www.owgr.com/styles/img/flags/FRA.png	Victor Dubuisson	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=10198	4.0617	170.59	42	-73.32	111.71	42
24	24	18	RSA	http://www.owgr.com/styles/img/flags/RSA.png	Charl Schwartzel	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7398	3.9591	205.88	52	-151.93	110.04	57
25	28	26	WAL	http://www.owgr.com/styles/img/flags/WAL.png	Jamie Donaldson	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7084	3.7395	194.45	52	-109.15	124.27	52
26	26	20	USA	http://www.owgr.com/styles/img/flags/USA.png	Keegan Bradley	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=13872	3.7333	194.13	52	-154.61	126.86	55
27	27	73	USA	http://www.owgr.com/styles/img/flags/USA.png	Patrick Reed	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14838	3.7206	193.47	52	-65.22	183.43	57
28	25	8	USA	http://www.owgr.com/styles/img/flags/USA.png	Steve Stricker	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=4818	3.7158	148.63	40	-137.54	57.24	26
