this_week	last_week	end_2013	country	flag_url	name	player_url	avg_points	total_points	event_played_divisor	points_lost	points_gained	events_played_actual
876	870	298	USA	http://www.owgr.com/styles/img/flags/USA.png	Ben Kohles	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=16395	0.1074	5.59	52	-18.62	-	55
877	878	1508	AUS	http://www.owgr.com/styles/img/flags/AUS.png	Jack Munro	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=17601	0.1073	4.29	40	-0.51	4.80	28
877	870	597	KOR	http://www.owgr.com/styles/img/flags/KOR.png	Park Hyun-bin	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14529	0.1073	4.94	46	-6.95	1.20	46
877	872	658	USA	http://www.owgr.com/styles/img/flags/USA.png	Brett Wetterich	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=1800	0.1073	4.29	40	-5.66	2.47	25
880	878	827	USA	http://www.owgr.com/styles/img/flags/USA.png	John Ellis	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=8481	0.1072	4.29	40	-2.16	1.80	18
881	882	643	USA	http://www.owgr.com/styles/img/flags/USA.png	Billy Mayfair	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=3572	0.1065	4.47	42	-6.93	2.40	42
882	883	910	USA	http://www.owgr.com/styles/img/flags/USA.png	Anthony Kang	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=6447	0.1060	4.34	41	-2.06	2.89	41
882	877	593	DEN	http://www.owgr.com/styles/img/flags/DEN.png	Thomas Norret	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=6513	0.1060	4.24	40	-5.20	-	40
882	973	607	AUS	http://www.owgr.com/styles/img/flags/AUS.png	Kieran Pratt	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=13676	0.1060	4.24	40	-6.86	2.42	39
885	880	756	CAN	http://www.owgr.com/styles/img/flags/CAN.png	Stephen Ames	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=4102	0.1052	4.21	40	-4.53	2.77	40
886	884	813	COL	http://www.owgr.com/styles/img/flags/COL.png	Jose Manuel Garrido	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=9846	0.1047	4.19	40	-3.32	2.63	14
886	887	1508	THA	http://www.owgr.com/styles/img/flags/THA.png	Poosit Supupramai	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=13100	0.1047	4.19	40	-0.54	4.72	17
886	888	""	USA	http://www.owgr.com/styles/img/flags/USA.png	Ollie Schniederjans	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=18662	0.1047	4.19	40	-0.03	4.22	2
889	885	626	ESP	http://www.owgr.com/styles/img/flags/ESP.png	Jose Manuel Lara	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=5815	0.1042	5.32	51	-5.99	-	51
890	892	995	FRA	http://www.owgr.com/styles/img/flags/FRA.png	Guillaume Cambis	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=15334	0.1041	4.16	40	-1.05	2.76	38
891	889	837	AUS	http://www.owgr.com/styles/img/flags/AUS.png	Sam Brazel	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=8390	0.1034	4.14	40	-2.31	1.89	25
892	894	1508	SCO	http://www.owgr.com/styles/img/flags/SCO.png	David Law	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14784	0.1029	4.11	40	-0.08	4.19	22
893	893	790	USA	http://www.owgr.com/styles/img/flags/USA.png	Kyle Stough	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=12255	0.1027	4.11	40	-2.31	1.21	26
894	891	635	AUS	http://www.owgr.com/styles/img/flags/AUS.png	Brody Ninyette	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=16007	0.1024	4.10	40	-3.90	-	29
895	1054	1508	ENG	http://www.owgr.com/styles/img/flags/ENG.png	Scott Fallon	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=17474	0.1007	4.03	40	-	4.03	12
896	897	849	THA	http://www.owgr.com/styles/img/flags/THA.png	Suttijet Kooratanapisan	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=15150	0.1002	4.01	40	-1.73	1.40	18
897	890	561	USA	http://www.owgr.com/styles/img/flags/USA.png	Scott Dunlap	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=3346	0.1000	4.00	40	-9.52	-	35
898	896	679	AUS	http://www.owgr.com/styles/img/flags/AUS.png	Maxwell McCardle	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=13674	0.0997	3.99	40	-3.04	-	28
899	902	1259	AUS	http://www.owgr.com/styles/img/flags/AUS.png	Andrew Kelly	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14818	0.0995	3.98	40	-1.31	4.22	32
900	886	287	IND	http://www.owgr.com/styles/img/flags/IND.png	Jeev Milkha Singh	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=3831	0.0990	5.15	52	-29.26	1.25	60
900	899	641	AUS	http://www.owgr.com/styles/img/flags/AUS.png	Peter O'Malley	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=660	0.0990	3.96	40	-3.89	-	25
902	874	384	JPN	http://www.owgr.com/styles/img/flags/JPN.png	Kenichi Kuboya	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=5790	0.0989	3.96	40	-18.91	-	38
903	900	737	RSA	http://www.owgr.com/styles/img/flags/RSA.png	Chris Swanepoel	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=9810	0.0988	4.74	48	-4.93	2.62	48
903	908	1508	ENG	http://www.owgr.com/styles/img/flags/ENG.png	Nathan Kimsey	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=18027	0.0988	3.95	40	-	3.95	12
905	903	931	KOR	http://www.owgr.com/styles/img/flags/KOR.png	Byun Jin-jae	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=13916	0.0978	3.91	40	-2.48	3.20	26
906	905	791	NIR	http://www.owgr.com/styles/img/flags/NIR.png	Alan Dunbar	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14814	0.0976	3.91	40	-2.50	1.20	27
907	898	636	JPN	http://www.owgr.com/styles/img/flags/JPN.png	Kiyoshi Miyazato	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7168	0.0975	3.90	40	-6.87	1.20	37
908	906	792	JPN	http://www.owgr.com/styles/img/flags/JPN.png	Ryuji Imada	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=6414	0.0974	4.58	47	-4.56	2.40	47
908	903	1068	NZL	http://www.owgr.com/styles/img/flags/NZL.png	Richard Lee	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=5311	0.0974	3.90	40	-2.38	4.32	8
910	909	965	SCO	http://www.owgr.com/styles/img/flags/SCO.png	Sandy Lyle	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=294	0.0967	3.87	40	-1.77	2.90	5
911	909	655	ARG	http://www.owgr.com/styles/img/flags/ARG.png	Sebastian Saavedra	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=11922	0.0962	3.85	40	-3.74	-	37
912	911	681	CHN	http://www.owgr.com/styles/img/flags/CHN.png	Huang Wen-yi	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=13466	0.0959	3.84	40	-3.11	-	30
913	907	810	NED	http://www.owgr.com/styles/img/flags/NED.png	Maarten Lafeber	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=5843	0.0958	4.41	46	-5.13	3.99	46
914	912	662	USA	http://www.owgr.com/styles/img/flags/USA.png	Kevin Sutherland	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=4996	0.0953	3.81	40	-3.60	-	15
915	917	1508	THA	http://www.owgr.com/styles/img/flags/THA.png	Supakorn Utaipat	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=13786	0.0952	3.81	40	-0.12	3.93	19
916	919	1508	USA	http://www.owgr.com/styles/img/flags/USA.png	Dominic Bozzelli	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=17564	0.0949	3.80	40	-0.12	3.92	7
916	915	""	USA	http://www.owgr.com/styles/img/flags/USA.png	Austin Cook	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=18579	0.0949	3.80	40	-0.13	3.92	1
918	916	861	NZL	http://www.owgr.com/styles/img/flags/NZL.png	Michael Long	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=4865	0.0947	3.79	40	-1.95	1.61	28
919	913	612	JPN	http://www.owgr.com/styles/img/flags/JPN.png	Makoto Inoue	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=6992	0.0945	3.78	40	-4.87	-	36
920	900	396	JPN	http://www.owgr.com/styles/img/flags/JPN.png	Masamichi Uehira	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7420	0.0944	4.34	46	-16.79	-	46
921	914	612	USA	http://www.owgr.com/styles/img/flags/USA.png	Joe Panzeri	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=15297	0.0943	3.77	40	-4.88	-	21
922	923	1508	SUI	http://www.owgr.com/styles/img/flags/SUI.png	Mathias Eggenberger(Am)	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14810	0.0940	3.76	40	-	3.76	2
923	917	992	RSA	http://www.owgr.com/styles/img/flags/RSA.png	Keenan Davidse	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=13725	0.0934	3.92	42	-2.33	3.78	42
924	927	639	USA	http://www.owgr.com/styles/img/flags/USA.png	Scott Harrington	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=8479	0.0933	4.57	49	-5.88	2.55	49
925	922	981	RSA	http://www.owgr.com/styles/img/flags/RSA.png	Lindani Ndwandwe	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7076	0.0927	4.08	44	-1.76	3.05	44
926	921	669	CAN	http://www.owgr.com/styles/img/flags/CAN.png	Riley Wheeldon	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=15447	0.0926	3.70	40	-3.47	-	30
927	920	711	AUS	http://www.owgr.com/styles/img/flags/AUS.png	Anthony Brown	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7086	0.0924	3.70	40	-4.21	1.61	33
928	929	1508	USA	http://www.owgr.com/styles/img/flags/USA.png	Daniel McCarthy	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=11594	0.0920	3.68	40	-	3.68	14
928	924	599	USA	http://www.owgr.com/styles/img/flags/USA.png	Philip Pettitt-Jr	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=12338	0.0920	4.51	49	-7.87	1.21	49
930	926	990	SUI	http://www.owgr.com/styles/img/flags/SUI.png	Martin Rominger	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=9528	0.0916	3.66	40	-2.26	3.45	36
931	930	1508	SIN	http://www.owgr.com/styles/img/flags/SIN.png	Choo Tze-huang	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=9700	0.0909	3.64	40	-0.08	3.72	39
932	935	1508	AUS	http://www.owgr.com/styles/img/flags/AUS.png	Tom Bond	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=17039	0.0900	3.60	40	-	3.60	20
933	925	873	FRA	http://www.owgr.com/styles/img/flags/FRA.png	Jean-Baptiste Gonnet	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7979	0.0899	3.87	43	-3.32	2.50	43
934	928	591	AUS	http://www.owgr.com/styles/img/flags/AUS.png	Nick Flanagan	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=8357	0.0897	3.59	40	-7.32	-	37
934	932	731	USA	http://www.owgr.com/styles/img/flags/USA.png	Ryan Sullivan	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=17276	0.0897	3.59	40	-2.41	-	23
936	934	""	USA	http://www.owgr.com/styles/img/flags/USA.png	Robert Rohanna	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14968	0.0895	3.58	40	-0.46	4.04	10
937	933	687	AUS	http://www.owgr.com/styles/img/flags/AUS.png	Andre Stolz	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=5237	0.0888	3.55	40	-3.17	-	24
938	938	1123	JPN	http://www.owgr.com/styles/img/flags/JPN.png	Toru Suzuki	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=4053	0.0884	3.54	40	-1.33	3.21	26
938	943	1024	USA	http://www.owgr.com/styles/img/flags/USA.png	J.J. Killeen	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=12847	0.0884	3.54	40	-2.98	3.54	37
940	939	1508	NZL	http://www.owgr.com/styles/img/flags/NZL.png	Mathew Perry	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=15894	0.0880	3.52	40	-0.08	3.60	13
941	936	906	AUS	http://www.owgr.com/styles/img/flags/AUS.png	Jamie Arnold	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=10861	0.0878	3.51	40	-2.36	2.40	28
941	944	""	RSA	http://www.owgr.com/styles/img/flags/RSA.png	Rhys West(Am)	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=10989	0.0878	3.51	40	-0.17	3.68	11
941	1567	1508	SWE	http://www.owgr.com/styles/img/flags/SWE.png	Joakim Rask	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=5922	0.0878	3.51	40	-	3.51	17
944	945	883	CAN	http://www.owgr.com/styles/img/flags/CAN.png	Matt Hill	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14029	0.0877	3.51	40	-3.29	3.00	29
945	931	558	THA	http://www.owgr.com/styles/img/flags/THA.png	Boonchu Ruangkit	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=3720	0.0876	3.51	40	-6.95	-	25
946	940	757	KOR	http://www.owgr.com/styles/img/flags/KOR.png	Kang Ji-Man	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7199	0.0873	3.49	40	-2.05	-	23
947	945	1508	JPN	http://www.owgr.com/styles/img/flags/JPN.png	Tomokazu Yoshinaga	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7267	0.0871	3.48	40	-0.12	3.60	5
947	941	859	KOR	http://www.owgr.com/styles/img/flags/KOR.png	LEE Hyung-joon	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=15796	0.0871	3.48	40	-1.85	1.20	32
949	936	754	MEX	http://www.owgr.com/styles/img/flags/MEX.png	Sebastian Vazquez	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=15487	0.0866	3.55	41	-4.57	2.50	41
950	951	1370	USA	http://www.owgr.com/styles/img/flags/USA.png	Kyle Thompson	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7617	0.0863	3.45	40	-0.62	3.45	27
951	942	701	RSA	http://www.owgr.com/styles/img/flags/RSA.png	James Kamte	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=8271	0.0861	3.96	46	-4.79	1.37	46
952	947	645	RSA	http://www.owgr.com/styles/img/flags/RSA.png	Charl Coetzee	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=9958	0.0852	4.26	50	-5.05	-	50
952	952	1137	USA	http://www.owgr.com/styles/img/flags/USA.png	Chris Williams	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=15481	0.0852	3.41	40	-0.84	2.68	21
954	952	1508	ARG	http://www.owgr.com/styles/img/flags/ARG.png	Armando Zarlenga	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=12818	0.0851	3.40	40	-0.20	3.60	31
955	957	1508	JPN	http://www.owgr.com/styles/img/flags/JPN.png	Koki Shiomi	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=17337	0.0844	3.38	40	-0.05	3.43	12
956	950	456	ARG	http://www.owgr.com/styles/img/flags/ARG.png	Ariel Canete	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=5926	0.0838	3.60	43	-11.27	-	43
957	955	698	TPE	http://www.owgr.com/styles/img/flags/TPE.png	Hsu Mong-Nan	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=6477	0.0837	3.35	40	-3.16	-	24
958	954	682	RSA	http://www.owgr.com/styles/img/flags/RSA.png	Alex Haindl	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=10792	0.0833	4.17	50	-6.36	1.68	50
959	960	1351	AUS	http://www.owgr.com/styles/img/flags/AUS.png	Andrew Martin	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=9774	0.0822	3.29	40	-1.50	4.10	27
960	956	584	JPN	http://www.owgr.com/styles/img/flags/JPN.png	Kaname Yokoo	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=5680	0.0819	3.52	43	-7.75	-	43
961	958	713	USA	http://www.owgr.com/styles/img/flags/USA.png	Wil Collins	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=8116	0.0818	3.27	40	-3.01	-	24
962	948	517	AUS	http://www.owgr.com/styles/img/flags/AUS.png	Daniel Popovic	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=11824	0.0817	3.27	40	-8.44	-	28
963	959	529	ENG	http://www.owgr.com/styles/img/flags/ENG.png	Gary Lockerbie	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=10547	0.0813	4.15	51	-11.33	1.50	51
964	961	710	USA	http://www.owgr.com/styles/img/flags/USA.png	Joe Affrunti	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=9194	0.0812	3.25	40	-3.06	-	17
965	969	929	USA	http://www.owgr.com/styles/img/flags/USA.png	Andy Pope	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14127	0.0810	3.32	41	-2.41	2.52	41
966	964	1508	KOR	http://www.owgr.com/styles/img/flags/KOR.png	Lee Sung-ho	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=13924	0.0802	3.21	40	-0.39	3.60	22
967	962	962	KOR	http://www.owgr.com/styles/img/flags/KOR.png	Baek Joo-yeob	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14931	0.0796	3.18	40	-2.62	3.00	29
967	963	434	USA	http://www.owgr.com/styles/img/flags/USA.png	Luke List	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7960	0.0796	3.98	50	-15.39	-	50
969	965	853	ENG	http://www.owgr.com/styles/img/flags/ENG.png	Steve Surry	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=9498	0.0786	3.14	40	-2.37	1.23	16
970	1094	680	WAL	http://www.owgr.com/styles/img/flags/WAL.png	Phillip Price	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=4739	0.0785	3.22	41	-6.18	1.22	41
971	967	721	TPE	http://www.owgr.com/styles/img/flags/TPE.png	Lu Wen-Teh	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=3811	0.0784	3.13	40	-3.00	-	22
972	949	375	NZL	http://www.owgr.com/styles/img/flags/NZL.png	Michael Campbell	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=4984	0.0783	3.13	40	-15.61	-	25
973	965	802	AUS	http://www.owgr.com/styles/img/flags/AUS.png	Rohan Blizard	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=11838	0.0782	3.13	40	-3.35	1.40	32
974	971	862	USA	http://www.owgr.com/styles/img/flags/USA.png	Matt Hendrix	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=9186	0.0778	3.11	40	-3.52	2.51	33
975	967	410	USA	http://www.owgr.com/styles/img/flags/USA.png	Blake Adams	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=12088	0.0774	3.10	40	-16.85	3.67	13
976	975	594	USA	http://www.owgr.com/styles/img/flags/USA.png	Lee Williams	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=10186	0.0768	3.46	45	-8.63	-	45
977	972	824	AUS	http://www.owgr.com/styles/img/flags/AUS.png	Matthew Giles	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=9783	0.0766	3.06	40	-3.33	1.68	26
978	974	723	AUS	http://www.owgr.com/styles/img/flags/AUS.png	Adam Groom	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7394	0.0764	3.05	40	-3.06	-	33
979	977	1508	KOR	http://www.owgr.com/styles/img/flags/KOR.png	Kim Nam-hun(AM)	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=17383	0.0757	3.03	40	-0.23	3.26	11
980	979	1269	JPN	http://www.owgr.com/styles/img/flags/JPN.png	Konosuke Nakazato	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=13056	0.0753	3.01	40	-0.84	2.82	21
981	976	771	CHI	http://www.owgr.com/styles/img/flags/CHI.png	Cristian Espinoza	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=13600	0.0751	3.00	40	-2.43	-	32
982	983	1338	USA	http://www.owgr.com/styles/img/flags/USA.png	Adam Long	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=15473	0.0750	3.00	40	-0.75	3.00	22
982	987	1508	INA	http://www.owgr.com/styles/img/flags/INA.png	William Sjaichuddin	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=17738	0.0750	3.00	40	-	3.00	13
982	987	""	USA	http://www.owgr.com/styles/img/flags/USA.png	Steve Carney	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=18532	0.0750	3.00	40	-	3.00	12
982	987	""	USA	http://www.owgr.com/styles/img/flags/USA.png	Jeff Dennis	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=18527	0.0750	3.00	40	-	3.00	11
982	987	""	THA	http://www.owgr.com/styles/img/flags/THA.png	Tirawat Kaewsiribandit	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=18371	0.0750	3.00	40	-	3.00	7
987	980	819	AUS	http://www.owgr.com/styles/img/flags/AUS.png	Leigh McKechnie	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7061	0.0746	2.98	40	-1.82	-	22
987	985	644	USA	http://www.owgr.com/styles/img/flags/USA.png	Cliff Kresge	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7092	0.0746	3.13	42	-8.13	1.35	42
989	983	942	ENG	http://www.owgr.com/styles/img/flags/ENG.png	Chris Rodgers	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7423	0.0744	2.98	40	-1.65	1.55	23
990	991	1508	USA	http://www.owgr.com/styles/img/flags/USA.png	Garrett Osborn	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=12848	0.0740	2.96	40	-	2.96	10
991	985	788	JPN	http://www.owgr.com/styles/img/flags/JPN.png	Yoshikazu Haku	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7374	0.0739	3.40	46	-4.71	1.68	46
992	981	691	KOR	http://www.owgr.com/styles/img/flags/KOR.png	Chun Jae-Han	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=16466	0.0737	2.95	40	-3.74	-	14
993	982	694	FIN	http://www.owgr.com/styles/img/flags/FIN.png	Joonas Granberg	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=13114	0.0734	2.94	40	-3.69	-	28
994	977	638	THA	http://www.owgr.com/styles/img/flags/THA.png	Thammanoon Sriroj	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=2006	0.0733	2.93	40	-5.00	-	34
995	992	1508	USA	http://www.owgr.com/styles/img/flags/USA.png	Brad Schneider	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=3703	0.0728	2.91	40	-0.47	3.38	19
995	970	459	THA	http://www.owgr.com/styles/img/flags/THA.png	Thitiphan Chuayprakong	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14129	0.0728	2.91	40	-10.82	-	35
997	997	1508	USA	http://www.owgr.com/styles/img/flags/USA.png	Matt Fast	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14561	0.0724	2.90	40	-0.19	3.08	23
998	992	880	CHN	http://www.owgr.com/styles/img/flags/CHN.png	Zhang Lian-Wei	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=3654	0.0723	2.89	40	-2.11	1.20	22
999	999	1152	IRL	http://www.owgr.com/styles/img/flags/IRL.png	Niall Kearney	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14396	0.0721	2.88	40	-1.01	2.44	20
1000	998	1508	USA	http://www.owgr.com/styles/img/flags/USA.png	David Duval	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=4761	0.0719	2.88	40	-0.52	3.40	27
1001	1001	""	USA	http://www.owgr.com/styles/img/flags/USA.png	Jonathan Fricke	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=10194	0.0718	2.87	40	-0.32	3.19	21
1002	1000	1508	CAN	http://www.owgr.com/styles/img/flags/CAN.png	Brad Clapp	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=17527	0.0717	2.87	40	-0.13	3.00	13
1003	1001	1508	RSA	http://www.owgr.com/styles/img/flags/RSA.png	Shaun Smith	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=17201	0.0716	2.86	40	-0.28	3.14	25
1004	1003	1508	FRA	http://www.owgr.com/styles/img/flags/FRA.png	Joel Stalter(Am)	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=17722	0.0712	2.85	40	-0.03	2.88	12
1005	1004	950	AUS	http://www.owgr.com/styles/img/flags/AUS.png	Gavin Coles	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=4863	0.0705	3.17	45	-2.60	2.38	45
1006	994	650	RSA	http://www.owgr.com/styles/img/flags/RSA.png	Mark Williams	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=4872	0.0701	2.94	42	-5.70	-	42
1006	994	632	RSA	http://www.owgr.com/styles/img/flags/RSA.png	Allan Versfeld	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=15194	0.0701	3.58	51	-8.28	1.22	51
1008	1008	1508	USA	http://www.owgr.com/styles/img/flags/USA.png	Olin Browne-Jr	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=16488	0.0695	2.78	40	-0.11	2.89	18
1009	1007	804	AUS	http://www.owgr.com/styles/img/flags/AUS.png	Stephen Leaney	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=4889	0.0692	2.77	40	-2.27	-	30
1010	1015	921	AUT	http://www.owgr.com/styles/img/flags/AUT.png	HP Bacher	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=12311	0.0690	2.76	40	-3.31	2.76	30
1011	1005	505	USA	http://www.owgr.com/styles/img/flags/USA.png	John Daly	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=863	0.0689	3.24	47	-13.09	1.70	47
1012	1012	979	JPN	http://www.owgr.com/styles/img/flags/JPN.png	Katsunori Kuwabara	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=5629	0.0688	2.75	40	-1.23	1.44	16
1012	994	504	KOR	http://www.owgr.com/styles/img/flags/KOR.png	Kim Dae-Sub	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=6644	0.0688	2.75	40	-9.46	-	31
1012	1008	807	USA	http://www.owgr.com/styles/img/flags/USA.png	James White	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=15613	0.0688	2.75	40	-2.23	-	4
